split,group,feature_type,bag_label,mean_attention,median_attention,sd_attention,n_samples,n_instances
transcriptome | label=1 | cell_type=B,B,transcriptome,1,0.04414147324860096,0.04466525465250015,0.002163866563688734,9,17
repertoire | label=1 | cell_type=B,B,repertoire,1,0.04414147324860096,0.04466525465250015,0.002163866563688734,9,17
transcriptome | label=1 | cell_type=T,T,transcriptome,1,0.039223436975762964,0.03928953781723976,0.0019382329496002502,7,11
repertoire | label=1 | cell_type=T,T,repertoire,1,0.039223436975762964,0.03928953781723976,0.0019382329496002502,7,11
transcriptome | label=1 | cell_type=myeloid,myeloid,transcriptome,1,0.03712300824311872,0.03788937255740166,0.0005630611940207236,8,12
repertoire | label=0 | cell_type=T,T,repertoire,0,0.030926707289403395,0.03150530159473419,0.00163677079686112,7,14
transcriptome | label=0 | cell_type=T,T,transcriptome,0,0.03092670728940339,0.03150530159473419,0.0016367707968611197,7,14
transcriptome | label=0 | cell_type=B,B,transcriptome,0,0.030778184395145482,0.030209585092961788,0.001345671718981101,9,20
repertoire | label=0 | cell_type=B,B,repertoire,0,0.030778184395145482,0.030209585092961788,0.0013456717189811013,9,20
transcriptome | label=0 | cell_type=myeloid,myeloid,transcriptome,0,0.029639304988086222,0.029996950179338455,0.00010450864265662881,5,6
